test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 512, 1, 64], [32, 512, 1, 64], [32, 512, 1, 64]]       |  bf16  |      32.05       |       32.14       |      32.15       |       12.29       | [114688]  |   [2097152, 2097152]   |  [16384]  |      3.72e-04      |      4.72e-04      |      7.64e-04       |  8.39e+06  |       0.04%        |       0.05%        |        0.08%        |    25.67%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 1024, 1, 64], [1, 1024, 1, 64], [1, 1024, 1, 64]]       |  bf16  |      16.23       |       16.27       |      16.28       |       2.64        |  [7168]   |    [131072, 131072]    |  [1024]   |      4.59e-05      |      5.82e-05      |      9.43e-05       |  5.24e+05  |       0.00%        |       0.01%        |        0.01%        |    3.17%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 1024, 1, 64], [2, 1024, 1, 64], [2, 1024, 1, 64]]       |  bf16  |      19.35       |       19.40       |      19.40       |       3.29        |  [14336]  |    [262144, 262144]    |  [2048]   |      7.69e-05      |      9.77e-05      |      1.58e-04       |  1.05e+06  |       0.01%        |       0.01%        |        0.02%        |    5.32%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 1024, 1, 64], [4, 1024, 1, 64], [4, 1024, 1, 64]]       |  bf16  |      22.68       |       22.74       |      22.78       |       4.57        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.31e-04      |      1.67e-04      |      2.70e-04       |  2.10e+06  |       0.01%        |       0.02%        |        0.03%        |    9.07%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[8, 1024, 1, 64], [8, 1024, 1, 64], [8, 1024, 1, 64]]       |  bf16  |      34.56       |       34.61       |      34.66       |       7.14        |  [57344]  |   [1048576, 1048576]   |  [8192]   |      1.72e-04      |      2.19e-04      |      3.54e-04       |  4.19e+06  |       0.02%        |       0.02%        |        0.04%        |    11.90%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[16, 1024, 1, 64], [16, 1024, 1, 64], [16, 1024, 1, 64]]     |  bf16  |      45.93       |       46.01       |      46.03       |       12.29       | [114688]  |   [2097152, 2097152]   |  [16384]  |      2.59e-04      |      3.29e-04      |      5.33e-04       |  8.39e+06  |       0.03%        |       0.03%        |        0.05%        |    17.92%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[32, 1024, 1, 64], [32, 1024, 1, 64], [32, 1024, 1, 64]]     |  bf16  |      62.00       |       62.47       |      62.98       |       22.57       | [229376]  |   [4194304, 4194304]   |  [32768]  |      3.84e-04      |      4.88e-04      |      7.90e-04       |  1.68e+07  |       0.04%        |       0.05%        |        0.08%        |    26.54%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 1, 4, 64], [1, 1, 1, 64], [1, 1, 1, 64]]           |  bf16  |       9.01       |       9.05        |       9.06       |       2.00        |   [28]    |       [512, 512]       |    [4]    |      3.23e-07      |      4.10e-07      |      6.64e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 1, 4, 64], [2, 1, 1, 64], [2, 1, 1, 64]]           |  bf16  |       9.01       |       9.06        |       9.11       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      6.45e-07      |      8.19e-07      |      1.33e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 1, 4, 64], [4, 1, 1, 64], [4, 1, 1, 64]]           |  bf16  |       9.16       |       9.19        |       9.22       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      1.27e-06      |      1.61e-06      |      2.61e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
