Test Case: A100SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       4.4        |       4.45        |       4.51       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.11%        |        0.11%         |     0.55%     |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       4.56       |       4.58        |       4.61       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.22%        |        0.22%         |     1.06%     |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       4.76       |       4.78        |       4.81       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.42%        |        0.42%         |     2.03%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       5.17       |        5.2        |       5.22       |        2.24        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.78%        |        0.78%         |     3.73%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       6.2        |       6.22        |       6.25       |        2.48        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        1.3%         |         1.3%         |     6.22%     |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       9.06       |       9.09        |       9.11       |        2.96        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.78%        |        1.78%         |     8.51%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |      14.54       |       14.59       |      14.64       |        3.93        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.22%        |        2.22%         |    10.61%     |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |      25.19       |       25.25       |      25.34       |        5.86        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        2.56%        |        2.56%         |    12.25%     |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      46.44       |       46.46       |      46.49       |        9.71        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        2.78%        |        2.78%         |    13.29%     |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |      92.93       |       92.97       |      93.03       |       17.43        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        2.78%        |        2.78%         |    13.28%     |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      188.93      |      188.96       |      188.98      |       32.86        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        2.73%        |        2.73%         |    13.07%     |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       7.12       |       7.15        |       7.17       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.08%     |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       7.37       |       7.42        |       7.48       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.16%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       7.37       |       7.37        |       7.37       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.07%        |        0.07%         |     0.33%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       7.32       |       7.38        |       7.42       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.14%        |        0.14%         |     0.66%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       7.53       |       7.53        |       7.53       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.27%        |        0.27%         |     1.28%     |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       7.53       |       7.58        |       7.63       |        2.24        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.54%        |        0.54%         |     2.56%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       7.53       |       7.55        |       7.58       |        2.48        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        1.07%        |        1.07%         |     5.12%     |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       7.94       |       7.96        |       7.99       |        2.96        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        2.03%        |        2.03%         |     9.72%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       8.4        |       8.42        |       8.45       |        3.93        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        3.84%        |        3.84%         |    18.37%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |      10.04       |       10.09       |      10.14       |        5.86        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        6.43%        |        6.43%         |    30.73%     |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |      16.13       |       16.23       |      16.33       |        9.71        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        8.0%         |         8.0%         |    38.26%     |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |      28.83       |       28.9        |      28.98       |       17.43        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        8.95%        |        8.95%         |    42.81%     |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      59.14       |       59.23       |      59.34       |       32.86        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        8.73%        |        8.73%         |    41.74%     |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      107.93      |      108.15       |      108.34      |       63.71        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        9.57%        |        9.57%         |    45.74%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      206.46      |      206.65       |      206.8       |       125.42       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        10.0%        |        10.0%         |    47.82%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      402.94      |      403.13       |      403.3       |       248.84       | 8.05e+08 | 1.01e+08  | 2.01e+08 |       10.25%        |        10.25%        |    49.01%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |      799.44      |      799.71       |      800.0       |       495.69       | 1.61e+09 | 2.01e+08  | 4.03e+08 |       10.33%        |        10.33%        |     49.4%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       8.65       |       8.68        |       8.7        |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.14%     |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       8.65       |       8.68        |       8.7        |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.06%        |        0.06%         |     0.28%     |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       8.7        |       8.73        |       8.76       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.12%        |        0.12%         |     0.55%     |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       8.76       |       8.78        |       8.81       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.23%        |        0.23%         |     1.1%      |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       8.86       |       8.89        |       8.91       |        2.24        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.46%        |        0.46%         |     2.18%     |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       8.91       |       8.94        |       8.96       |        2.48        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.91%        |        0.91%         |     4.33%     |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       8.96       |       8.99        |       9.01       |        2.96        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.8%         |         1.8%         |     8.61%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       9.37       |        9.4        |       9.42       |        3.93        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        3.44%        |        3.44%         |    16.47%     |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |      10.85       |       10.91       |      10.96       |        5.86        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        5.95%        |        5.95%         |    28.44%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |      14.23       |       14.25       |      14.28       |        9.71        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        9.07%        |        9.07%         |    43.37%     |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      27.39       |       27.58       |      27.75       |       17.43        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        9.42%        |        9.42%         |    45.06%     |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      66.05       |       66.45       |      66.87       |       32.86        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        7.82%        |        7.82%         |    37.37%     |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |      140.6       |      141.08       |      141.57      |       63.71        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        7.34%        |        7.34%         |    35.11%     |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      268.44      |      268.59       |      268.75      |       125.42       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        7.69%        |        7.69%         |    36.78%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      518.5       |      521.41       |      523.83      |       248.84       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        7.96%        |        7.96%         |    38.09%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |      993.02      |      1019.35      |     1035.67      |       495.69       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        8.32%        |        8.32%         |    39.77%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     1742.08      |      1869.3       |     2053.53      |       989.38       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        9.48%        |        9.48%         |    45.34%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |      10.39       |       10.47       |      10.55       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.03%        |        0.03%         |     0.15%     |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |      10.55       |       10.57       |       10.6       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.06%        |        0.06%         |     0.3%      |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |      10.55       |       10.6        |      10.65       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.13%        |        0.13%         |     0.61%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |      10.65       |       10.7        |      10.75       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.25%        |        0.25%         |     1.21%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |      10.75       |       10.8        |      10.85       |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.5%         |         0.5%         |     2.39%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |       10.8       |       10.83       |      10.85       |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.0%         |         1.0%         |     4.76%     |
|  64   | 8192  | [8192]  | 0.0001  |   [[64, 8192]]   | bf16  |       10.8       |       10.85       |      10.91       |        3.29        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.99%        |        1.99%         |     9.52%     |
|  128  | 8192  | [8192]  | 0.0001  |  [[128, 8192]]   | bf16  |      11.37       |       11.39       |      11.42       |        4.57        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        3.78%        |        3.78%         |    18.09%     |
|  256  | 8192  | [8192]  | 0.0001  |  [[256, 8192]]   | bf16  |      12.13       |       12.18       |      12.24       |        7.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        7.09%        |        7.09%         |    33.92%     |
|  512  | 8192  | [8192]  | 0.0001  |  [[512, 8192]]   | bf16  |      19.46       |       19.53       |      19.61       |       12.29        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        8.84%        |        8.84%         |    42.28%     |
| 1024  | 8192  | [8192]  | 0.0001  |  [[1024, 8192]]  | bf16  |      54.12       |       54.34       |      54.58       |       22.57        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        6.36%        |        6.36%         |    30.41%     |
| 2048  | 8192  | [8192]  | 0.0001  |  [[2048, 8192]]  | bf16  |      116.63      |      117.03       |      117.4       |       43.14        | 1.34e+08 | 1.68e+07  | 3.36e+07 |        5.9%         |         5.9%         |    28.22%     |
| 4096  | 8192  | [8192]  | 0.0001  |  [[4096, 8192]]  | bf16  |      219.9       |      220.13       |      220.36      |       84.28        | 2.68e+08 | 3.36e+07  | 6.71e+07 |        6.26%        |        6.26%         |    29.93%     |
| 8192  | 8192  | [8192]  | 0.0001  |  [[8192, 8192]]  | bf16  |      419.38      |      419.48       |      419.58      |       166.56       | 5.37e+08 | 6.71e+07  | 1.34e+08 |        6.56%        |        6.56%         |    31.39%     |
