Test Case: H100PCIE_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  8  | 32  |  64  |  32  |      [[8, 32, 64], [8, 64, 32]]       | bf16  |      25.82       |       25.95       |      26.06       |        2.05        | 1.05e+06 | 4.10e+04 |      0.01%       |     0.16%     |
| 16  | 32  |  64  |  32  |     [[16, 32, 64], [16, 64, 32]]      | bf16  |      25.73       |       25.81       |      25.92       |        2.1         | 2.10e+06 | 8.19e+04 |      0.01%       |     0.32%     |
| 32  | 32  |  64  |  32  |     [[32, 32, 64], [32, 64, 32]]      | bf16  |      25.76       |       25.9        |      25.98       |        2.2         | 4.19e+06 | 1.64e+05 |      0.02%       |     0.64%     |
|  1  | 64  |  64  |  32  |      [[1, 64, 64], [1, 64, 32]]       | bf16  |      25.61       |       25.68       |      25.77       |        2.01        | 2.62e+05 | 8.19e+03 |       0.0%       |     0.03%     |
|  2  | 64  |  64  |  32  |      [[2, 64, 64], [2, 64, 32]]       | bf16  |      25.92       |       26.15       |      26.46       |        2.02        | 5.24e+05 | 1.64e+04 |       0.0%       |     0.06%     |
|  4  | 64  |  64  |  32  |      [[4, 64, 64], [4, 64, 32]]       | bf16  |      25.59       |       25.76       |      26.02       |        2.04        | 1.05e+06 | 3.28e+04 |      0.01%       |     0.13%     |
|  8  | 64  |  64  |  32  |      [[8, 64, 64], [8, 64, 32]]       | bf16  |      25.93       |       26.08       |       26.3       |        2.08        | 2.10e+06 | 6.55e+04 |      0.01%       |     0.25%     |
| 16  | 64  |  64  |  32  |     [[16, 64, 64], [16, 64, 32]]      | bf16  |      25.77       |       25.95       |       26.1       |        2.16        | 4.19e+06 | 1.31e+05 |      0.02%       |     0.51%     |
| 32  | 64  |  64  |  32  |     [[32, 64, 64], [32, 64, 32]]      | bf16  |      25.68       |       25.81       |       26.0       |        2.33        | 8.39e+06 | 2.62e+05 |      0.04%       |     1.02%     |
|  1  | 128 |  64  |  32  |      [[1, 128, 64], [1, 64, 32]]      | bf16  |      25.53       |       25.67       |      25.81       |        2.02        | 5.24e+05 | 1.43e+04 |       0.0%       |     0.06%     |
|  2  | 128 |  64  |  32  |      [[2, 128, 64], [2, 64, 32]]      | bf16  |      25.67       |       25.8        |       26.0       |        2.04        | 1.05e+06 | 2.87e+04 |      0.01%       |     0.11%     |
|  4  | 128 |  64  |  32  |      [[4, 128, 64], [4, 64, 32]]      | bf16  |      25.91       |       26.1        |      26.36       |        2.07        | 2.10e+06 | 5.73e+04 |      0.01%       |     0.22%     |
|  8  | 128 |  64  |  32  |      [[8, 128, 64], [8, 64, 32]]      | bf16  |       25.9       |       26.11       |      26.37       |        2.14        | 4.19e+06 | 1.15e+05 |      0.02%       |     0.44%     |
| 16  | 128 |  64  |  32  |     [[16, 128, 64], [16, 64, 32]]     | bf16  |      25.93       |       26.06       |      26.22       |        2.29        | 8.39e+06 | 2.29e+05 |      0.04%       |     0.88%     |
| 32  | 128 |  64  |  32  |     [[32, 128, 64], [32, 64, 32]]     | bf16  |       25.8       |       25.96       |      26.08       |        2.57        | 1.68e+07 | 4.59e+05 |      0.09%       |     1.78%     |
|  1  | 256 |  64  |  32  |      [[1, 256, 64], [1, 64, 32]]      | bf16  |      25.65       |       25.93       |      26.29       |        2.03        | 1.05e+06 | 2.66e+04 |      0.01%       |     0.1%      |
|  2  | 256 |  64  |  32  |      [[2, 256, 64], [2, 64, 32]]      | bf16  |      25.86       |       26.03       |       26.2       |        2.07        | 2.10e+06 | 5.32e+04 |      0.01%       |     0.21%     |
|  4  | 256 |  64  |  32  |      [[4, 256, 64], [4, 64, 32]]      | bf16  |       26.1       |       26.18       |      26.36       |        2.13        | 4.19e+06 | 1.06e+05 |      0.02%       |     0.41%     |
