Test Case: H100PCIE_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 | 128  | 7168 |  32  |  [[128, 7168], [7168, 32]]   | bf16  |      29.61       |       29.81       |      29.95       |        3.44        | 5.87e+07 | 1.15e+06 |      0.26%       |     3.89%     |
| 1 | 256  | 7168 |  32  |  [[256, 7168], [7168, 32]]   | bf16  |      29.34       |       29.48       |      29.74       |        4.59        | 1.17e+08 | 2.07e+06 |      0.53%       |     7.06%     |
| 1 | 512  | 7168 |  32  |  [[512, 7168], [7168, 32]]   | bf16  |       29.5       |       29.71       |      29.92       |        6.89        | 2.35e+08 | 3.92e+06 |      1.05%       |    13.27%     |
| 1 | 1024 | 7168 |  32  |  [[1024, 7168], [7168, 32]]  | bf16  |      29.61       |       29.82       |      29.98       |        11.5        | 4.70e+08 | 7.60e+06 |       2.1%       |    25.67%     |
| 1 | 2048 | 7168 |  32  |  [[2048, 7168], [7168, 32]]  | bf16  |      29.55       |       29.83       |      30.57       |       20.72        | 9.40e+08 | 1.50e+07 |      4.21%       |    50.68%     |
| 1 |  1   | 8192 |  32  |   [[1, 8192], [8192, 32]]    | bf16  |      29.22       |       29.45       |      29.61       |        2.34        | 5.24e+05 | 2.70e+05 |       0.0%       |     0.93%     |
| 1 |  2   | 8192 |  32  |   [[2, 8192], [8192, 32]]    | bf16  |      29.16       |       29.27       |      29.47       |        2.35        | 1.05e+06 | 2.79e+05 |       0.0%       |     0.96%     |
| 1 |  4   | 8192 |  32  |   [[4, 8192], [8192, 32]]    | bf16  |      29.27       |       29.36       |      29.44       |        2.37        | 2.10e+06 | 2.95e+05 |      0.01%       |     1.01%     |
| 1 |  8   | 8192 |  32  |   [[8, 8192], [8192, 32]]    | bf16  |      29.32       |       29.53       |      29.66       |        2.41        | 4.19e+06 | 3.28e+05 |      0.02%       |     1.12%     |
| 1 |  32  | 8192 |  32  |   [[32, 8192], [8192, 32]]   | bf16  |       29.3       |       29.44       |      29.55       |        2.66        | 1.68e+07 | 5.25e+05 |      0.08%       |     1.79%     |
| 1 |  64  | 8192 |  32  |   [[64, 8192], [8192, 32]]   | bf16  |      29.16       |       29.34       |      29.48       |        2.99        | 3.36e+07 | 7.88e+05 |      0.15%       |     2.7%      |
| 1 | 128  | 8192 |  32  |  [[128, 8192], [8192, 32]]   | bf16  |      29.49       |       29.68       |       29.9       |        3.64        | 6.71e+07 | 1.31e+06 |       0.3%       |     4.46%     |
| 1 | 256  | 8192 |  32  |  [[256, 8192], [8192, 32]]   | bf16  |      29.58       |       29.74       |      29.85       |        4.96        | 1.34e+08 | 2.37e+06 |       0.6%       |     8.0%      |
| 1 | 512  | 8192 |  32  |  [[512, 8192], [8192, 32]]   | bf16  |      29.55       |       29.65       |      29.75       |        7.59        | 2.68e+08 | 4.47e+06 |       1.2%       |    15.14%     |
| 1 | 1024 | 8192 |  32  |  [[1024, 8192], [8192, 32]]  | bf16  |       29.3       |       29.52       |      29.85       |       12.85        | 5.37e+08 | 8.68e+06 |      2.42%       |    29.64%     |
| 1 | 2048 | 8192 |  32  |  [[2048, 8192], [8192, 32]]  | bf16  |      29.49       |       29.66       |      29.77       |       23.38        | 1.07e+09 | 1.71e+07 |      4.82%       |     58.0%     |
| 1 |  1   |  32  |  64  |     [[1, 32], [32, 64]]      | bf16  |      25.07       |       25.2        |      25.25       |        2.0         | 4.10e+03 | 2.14e+03 |       0.0%       |     0.01%     |
| 1 |  2   |  32  |  64  |     [[2, 32], [32, 64]]      | bf16  |      24.95       |       25.06       |      25.16       |        2.0         | 8.19e+03 | 2.24e+03 |       0.0%       |     0.01%     |
| 1 |  4   |  32  |  64  |     [[4, 32], [32, 64]]      | bf16  |      25.17       |       25.27       |      25.45       |        2.0         | 1.64e+04 | 2.43e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  32  |  64  |     [[8, 32], [32, 64]]      | bf16  |       25.1       |       25.27       |       25.5       |        2.0         | 3.28e+04 | 2.82e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  32  |  64  |     [[32, 32], [32, 64]]     | bf16  |      25.25       |       25.4        |      25.71       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.02%     |
