Test Case: H100PCIE_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   | 4096  | N/A |         [[4, 4096], [4096]]          | bf16  |       3.56       |       3.58        |       3.59       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.38%     |
|   8   | 4096  | N/A |         [[8, 4096], [4096]]          | bf16  |       3.57       |        3.6        |       3.62       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.75%     |
|  16   | 4096  | N/A |         [[16, 4096], [4096]]         | bf16  |       3.59       |       3.61        |       3.63       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.48%     |
|  32   | 4096  | N/A |         [[32, 4096], [4096]]         | bf16  |       3.69       |        3.7        |       3.71       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.66%     |
|  64   | 4096  | N/A |         [[64, 4096], [4096]]         | bf16  |       3.86       |       3.88        |       3.9        |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.37%     |
|  128  | 4096  | N/A |        [[128, 4096], [4096]]         | bf16  |       4.28       |       4.29        |       4.31       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.75%     |
|  256  | 4096  | N/A |        [[256, 4096], [4096]]         | bf16  |       6.0        |       6.06        |       6.11       |        5.93        | 1.05e+06 | 3.15e+06 |      0.34%       |    52.43%     |
|  512  | 4096  | N/A |        [[512, 4096], [4096]]         | bf16  |       8.49       |       8.51        |       8.54       |        9.86        | 2.10e+06 | 6.29e+06 |      0.48%       |     74.1%     |
| 1024  | 4096  | N/A |        [[1024, 4096], [4096]]        | bf16  |      13.82       |       13.84       |      13.87       |       17.73        | 4.19e+06 | 1.26e+07 |       0.6%       |    91.05%     |
| 2048  | 4096  | N/A |        [[2048, 4096], [4096]]        | bf16  |      26.83       |       26.87       |       26.9       |       33.46        | 8.39e+06 | 2.52e+07 |      0.61%       |     93.8%     |
| 4096  | 4096  | N/A |        [[4096, 4096], [4096]]        | bf16  |      57.77       |       57.8        |      57.83       |       64.91        | 1.68e+07 | 5.03e+07 |      0.57%       |    87.12%     |
| 8192  | 4096  | N/A |        [[8192, 4096], [4096]]        | bf16  |      137.82      |      195.66       |      236.74      |       127.83       | 3.36e+07 | 1.01e+08 |      0.48%       |    73.04%     |
| 16384 | 4096  | N/A |       [[16384, 4096], [4096]]        | bf16  |      218.1       |      218.15       |      218.2       |       253.66       | 6.71e+07 | 2.01e+08 |       0.6%       |    92.31%     |
| 32768 | 4096  | N/A |       [[32768, 4096], [4096]]        | bf16  |      430.0       |      430.06       |      430.1       |       505.32       | 1.34e+08 | 4.03e+08 |      0.61%       |    93.64%     |
|   1   | 5120  | N/A |         [[1, 5120], [5120]]          | bf16  |       2.33       |       2.35        |       2.36       |        2.02        | 5.12e+03 | 1.54e+04 |       0.0%       |     0.66%     |
|   2   | 5120  | N/A |         [[2, 5120], [5120]]          | bf16  |       3.55       |       3.56        |       3.57       |        2.04        | 1.02e+04 | 3.07e+04 |      0.01%       |     0.87%     |
