test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |         input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |  [[4, 32768, 3, 32, 128]]   |  bf16  |    390679.53     |     390705.84     |    390722.25     |       2.09        | [28672]  | [1048576, 1048576] |  [4096]   |      3.38e-09      |      4.08e-08      |      6.95e-09       |  1.39e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |  [[8, 32768, 3, 32, 128]]   |  bf16  |    779678.69     |     779698.50     |    779723.06     |       2.17        | [57344]  | [2097152, 2097152] |  [8192]   |      3.38e-09      |      4.09e-08      |      6.96e-09       |  2.70e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |  [[1, 65536, 3, 32, 128]]   |  bf16  |    390392.25     |     390428.59     |    390480.88     |       2.03        |  [7168]  |  [262144, 262144]  |  [1024]   |      8.45e-10      |      1.02e-08      |      1.74e-09       |  4.10e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |  [[2, 65536, 3, 32, 128]]   |  bf16  |    778441.19     |     778464.56     |    778492.94     |       2.05        | [14336]  |  [524288, 524288]  |  [2048]   |      8.48e-10      |      1.02e-08      |      1.74e-09       |  7.37e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |  [[4, 65536, 3, 32, 128]]   |  bf16  |    1554583.00    |    1554628.00     |    1554670.75    |       2.09        | [28672]  | [1048576, 1048576] |  [4096]   |      8.49e-10      |      1.03e-08      |      1.75e-09       |  1.39e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |  [[8, 65536, 3, 32, 128]]   |  bf16  |    3106842.50    |    3106893.75     |    3106910.25    |       2.17        | [57344]  | [2097152, 2097152] |  [8192]   |      8.49e-10      |      1.03e-08      |      1.75e-09       |  2.70e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[1, 131072, 3, 32, 128]]  |  bf16  |    1554574.38    |    1554596.88     |    1554622.88    |       2.03        |  [7168]  |  [262144, 262144]  |  [1024]   |      2.12e-10      |      2.56e-09      |      4.37e-10       |  4.10e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[2, 131072, 3, 32, 128]]  |  bf16  |    3104696.50    |    3104713.50     |    3104731.75    |       2.05        | [14336]  |  [524288, 524288]  |  [2048]   |      2.13e-10      |      2.57e-09      |      4.37e-10       |  7.37e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[4, 131072, 3, 32, 128]]  |  bf16  |    6205116.00    |    6205278.00     |    6205709.00    |       2.09        | [28672]  | [1048576, 1048576] |  [4096]   |      2.13e-10      |      2.57e-09      |      4.37e-10       |  1.39e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[8, 131072, 3, 32, 128]]  |  bf16  |   12406027.00    |    12406112.00    |   12406381.00    |       2.17        | [57344]  | [2097152, 2097152] |  [8192]   |      2.13e-10      |      2.57e-09      |      4.38e-10       |  2.70e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
