Test Case: H20SXM_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  64   | N/A |          [[1, 64], [1, 64]]          | bf16  |       1.71       |       1.75        |       1.8        |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   2   |  64   | N/A |          [[2, 64], [2, 64]]          | bf16  |       1.68       |       1.71        |       1.75       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   4   |  64   | N/A |          [[4, 64], [4, 64]]          | bf16  |       1.81       |       1.85        |       1.88       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.02%     |
|   8   |  64   | N/A |          [[8, 64], [8, 64]]          | bf16  |       1.73       |       1.74        |       1.75       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|  16   |  64   | N/A |         [[16, 64], [16, 64]]         | bf16  |       1.77       |       1.79        |       1.81       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  32   |  64   | N/A |         [[32, 64], [32, 64]]         | bf16  |       1.75       |       1.77        |       1.79       |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  64   |  64   | N/A |         [[64, 64], [64, 64]]         | bf16  |       1.78       |       1.81        |       1.84       |        2.01        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.35%     |
|  128  |  64   | N/A |        [[128, 64], [128, 64]]        | bf16  |       1.8        |       1.84        |       1.88       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.68%     |
|  256  |  64   | N/A |        [[256, 64], [256, 64]]        | bf16  |       1.81       |       1.83        |       1.86       |        2.03        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.36%     |
|  512  |  64   | N/A |        [[512, 64], [512, 64]]        | bf16  |       1.83       |       1.85        |       1.88       |        2.06        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.69%     |
| 1024  |  64   | N/A |       [[1024, 64], [1024, 64]]       | bf16  |       1.88       |        1.9        |       1.92       |        2.12        | 6.55e+04 | 1.97e+05 |      0.08%       |     5.23%     |
| 2048  |  64   | N/A |       [[2048, 64], [2048, 64]]       | bf16  |       1.96       |       1.98        |       2.01       |        2.25        | 1.31e+05 | 3.93e+05 |      0.15%       |    10.03%     |
| 4096  |  64   | N/A |       [[4096, 64], [4096, 64]]       | bf16  |       2.14       |       2.16        |       2.18       |        2.49        | 2.62e+05 | 7.86e+05 |      0.28%       |    18.37%     |
| 8192  |  64   | N/A |       [[8192, 64], [8192, 64]]       | bf16  |       2.5        |       2.53        |       2.57       |        2.98        | 5.24e+05 | 1.57e+06 |      0.48%       |    31.46%     |
| 16384 |  64   | N/A |      [[16384, 64], [16384, 64]]      | bf16  |       3.16       |        3.2        |       3.24       |        3.97        | 1.05e+06 | 3.15e+06 |      0.75%       |    49.77%     |
| 32768 |  64   | N/A |      [[32768, 64], [32768, 64]]      | bf16  |       4.4        |       4.43        |       4.47       |        5.93        | 2.10e+06 | 6.29e+06 |      1.08%       |    71.49%     |
|   1   |  128  | N/A |         [[1, 128], [1, 128]]         | bf16  |       1.8        |       1.82        |       1.84       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   2   |  128  | N/A |         [[2, 128], [2, 128]]         | bf16  |       1.84       |       1.86        |       1.88       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.02%     |
|   4   |  128  | N/A |         [[4, 128], [4, 128]]         | bf16  |       1.78       |       1.81        |       1.84       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|   8   |  128  | N/A |         [[8, 128], [8, 128]]         | bf16  |       1.69       |       1.71        |       1.74       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  16   |  128  | N/A |        [[16, 128], [16, 128]]        | bf16  |       1.78       |       1.79        |       1.8        |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.17%     |
|  32   |  128  | N/A |        [[32, 128], [32, 128]]        | bf16  |       1.79       |       1.81        |       1.84       |        2.01        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.34%     |
|  64   |  128  | N/A |        [[64, 128], [64, 128]]        | bf16  |       1.81       |       1.84        |       1.89       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.68%     |
|  128  |  128  | N/A |       [[128, 128], [128, 128]]       | bf16  |       1.83       |       1.86        |       1.9        |        2.03        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.34%     |
|  256  |  128  | N/A |       [[256, 128], [256, 128]]       | bf16  |       1.84       |       1.87        |       1.91       |        2.06        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.67%     |
|  512  |  128  | N/A |       [[512, 128], [512, 128]]       | bf16  |       1.89       |       1.91        |       1.92       |        2.12        | 6.55e+04 | 1.97e+05 |      0.08%       |     5.2%      |
| 1024  |  128  | N/A |      [[1024, 128], [1024, 128]]      | bf16  |       1.97       |       1.99        |       2.01       |        2.25        | 1.31e+05 | 3.93e+05 |      0.15%       |     9.98%     |
| 2048  |  128  | N/A |      [[2048, 128], [2048, 128]]      | bf16  |       2.15       |       2.18        |       2.22       |        2.49        | 2.62e+05 | 7.86e+05 |      0.28%       |    18.29%     |
| 4096  |  128  | N/A |      [[4096, 128], [4096, 128]]      | bf16  |       2.5        |       2.53        |       2.56       |        2.98        | 5.24e+05 | 1.57e+06 |      0.48%       |    31.46%     |
| 8192  |  128  | N/A |      [[8192, 128], [8192, 128]]      | bf16  |       3.15       |       3.18        |       3.22       |        3.97        | 1.05e+06 | 3.15e+06 |      0.76%       |    49.93%     |
| 16384 |  128  | N/A |     [[16384, 128], [16384, 128]]     | bf16  |       4.39       |       4.42        |       4.45       |        5.93        | 2.10e+06 | 6.29e+06 |      1.09%       |    71.66%     |
| 32768 |  128  | N/A |     [[32768, 128], [32768, 128]]     | bf16  |       7.04       |       7.09        |       7.14       |        9.86        | 4.19e+06 | 1.26e+07 |      1.35%       |    89.37%     |
|   1   |  512  | N/A |         [[1, 512], [1, 512]]         | bf16  |       1.71       |       1.75        |       1.79       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
