test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 256, 1, 64], [8, 256, 1, 64], [8, 256, 1, 64]]        |  bf16  |      12.15       |       12.21       |      12.26       |       2.66        |  [14336]  |    [262144, 262144]    |  [2048]   |      5.43e-05      |      3.28e-04      |      1.12e-04       |  1.05e+06  |       0.01%        |       0.03%        |        0.01%        |    4.32%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 256, 1, 64], [16, 256, 1, 64], [16, 256, 1, 64]]       |  bf16  |      12.37       |       12.40       |      12.42       |       3.31        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.07e-04      |      6.45e-04      |      2.20e-04       |  2.10e+06  |       0.01%        |       0.06%        |        0.02%        |    8.48%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 256, 1, 64], [32, 256, 1, 64], [32, 256, 1, 64]]       |  bf16  |      12.66       |       12.71       |      12.75       |       4.62        |  [57344]  |   [1048576, 1048576]   |  [8192]   |      2.09e-04      |      1.26e-03      |      4.29e-04       |  4.19e+06  |       0.02%        |       0.13%        |        0.04%        |    16.57%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 512, 1, 64], [1, 512, 1, 64], [1, 512, 1, 64]]        |  bf16  |      11.42       |       11.45       |      11.48       |       2.16        |  [3584]   |     [65536, 65536]     |   [512]   |      1.44e-05      |      8.72e-05      |      2.97e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.15%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 512, 1, 64], [2, 512, 1, 64], [2, 512, 1, 64]]        |  bf16  |      11.69       |       11.70       |      11.72       |       2.33        |  [7168]   |    [131072, 131072]    |  [1024]   |      2.82e-05      |      1.70e-04      |      5.81e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    2.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 512, 1, 64], [4, 512, 1, 64], [4, 512, 1, 64]]        |  bf16  |      12.20       |       12.24       |      12.31       |       2.66        |  [14336]  |    [262144, 262144]    |  [2048]   |      5.41e-05      |      3.27e-04      |      1.11e-04       |  1.05e+06  |       0.01%        |       0.03%        |        0.01%        |    4.30%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 512, 1, 64], [8, 512, 1, 64], [8, 512, 1, 64]]        |  bf16  |      17.21       |       17.24       |      17.29       |       3.31        |  [28672]  |    [524288, 524288]    |  [4096]   |      7.67e-05      |      4.63e-04      |      1.58e-04       |  2.10e+06  |       0.01%        |       0.05%        |        0.02%        |    6.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 512, 1, 64], [16, 512, 1, 64], [16, 512, 1, 64]]       |  bf16  |      21.06       |       21.13       |      21.18       |       4.62        |  [57344]  |   [1048576, 1048576]   |  [8192]   |      1.25e-04      |      7.57e-04      |      2.58e-04       |  4.19e+06  |       0.01%        |       0.08%        |        0.03%        |    9.96%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 512, 1, 64], [32, 512, 1, 64], [32, 512, 1, 64]]       |  bf16  |      35.44       |       35.47       |      35.51       |       7.24        | [114688]  |   [2097152, 2097152]   |  [16384]  |      1.49e-04      |      9.00e-04      |      3.06e-04       |  8.39e+06  |       0.01%        |       0.09%        |        0.03%        |    11.84%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 1024, 1, 64], [1, 1024, 1, 64], [1, 1024, 1, 64]]       |  bf16  |      12.20       |       12.24       |      12.30       |       2.33        |  [7168]   |    [131072, 131072]    |  [1024]   |      2.70e-05      |      1.63e-04      |      5.56e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    2.15%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 1024, 1, 64], [2, 1024, 1, 64], [2, 1024, 1, 64]]       |  bf16  |      16.32       |       16.35       |      16.40       |       2.66        |  [14336]  |    [262144, 262144]    |  [2048]   |      4.04e-05      |      2.44e-04      |      8.32e-05       |  1.05e+06  |       0.00%        |       0.02%        |        0.01%        |    3.21%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 1024, 1, 64], [4, 1024, 1, 64], [4, 1024, 1, 64]]       |  bf16  |      25.08       |       25.13       |      25.18       |       3.31        |  [28672]  |    [524288, 524288]    |  [4096]   |      5.26e-05      |      3.18e-04      |      1.08e-04       |  2.10e+06  |       0.01%        |       0.03%        |        0.01%        |    4.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[8, 1024, 1, 64], [8, 1024, 1, 64], [8, 1024, 1, 64]]       |  bf16  |      37.98       |       38.03       |      38.10       |       4.62        |  [57344]  |   [1048576, 1048576]   |  [8192]   |      6.95e-05      |      4.20e-04      |      1.43e-04       |  4.19e+06  |       0.01%        |       0.04%        |        0.01%        |    5.52%     |
