Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 8  |  32  | 8192 | 3072 |  [8, 32, 3072]   |  [8, 32, 8192]   | [8, 8192, 3072]  | bf16  |      104.19       |      103.37      |      105.12      |        N/A         |
| 16 |  32  | 8192 | 3072 |  [16, 32, 3072]  |  [16, 32, 8192]  | [16, 8192, 3072] | bf16  |      129.33       |      128.56      |      131.93      |        N/A         |
| 32 |  32  | 8192 | 3072 |  [32, 32, 3072]  |  [32, 32, 8192]  | [32, 8192, 3072] | bf16  |      247.05       |      246.21      |      247.51      |        N/A         |
| 1  | 128  | 8192 | 3072 |  [1, 128, 3072]  |  [1, 128, 8192]  | [1, 8192, 3072]  | bf16  |      108.12       |      107.51      |      108.67      |        N/A         |
| 2  | 128  | 8192 | 3072 |  [2, 128, 3072]  |  [2, 128, 8192]  | [2, 8192, 3072]  | bf16  |      104.69       |      103.64      |      105.58      |        N/A         |
| 8  | 128  | 8192 | 3072 |  [8, 128, 3072]  |  [8, 128, 8192]  | [8, 8192, 3072]  | bf16  |      104.61       |      103.79      |      105.38      |        N/A         |
| 16 | 128  | 8192 | 3072 | [16, 128, 3072]  | [16, 128, 8192]  | [16, 8192, 3072] | bf16  |      141.72       |      141.11      |      144.46      |        N/A         |
| 32 | 128  | 8192 | 3072 | [32, 128, 3072]  | [32, 128, 8192]  | [32, 8192, 3072] | bf16  |      275.66       |      275.3       |      275.93      |        N/A         |
| 1  | 512  | 8192 | 3072 |  [1, 512, 3072]  |  [1, 512, 8192]  | [1, 8192, 3072]  | bf16  |      105.74       |      104.98      |      106.57      |        N/A         |
| 2  | 512  | 8192 | 3072 |  [2, 512, 3072]  |  [2, 512, 8192]  | [2, 8192, 3072]  | bf16  |      104.94       |      104.26      |      105.3       |        N/A         |
| 8  | 512  | 8192 | 3072 |  [8, 512, 3072]  |  [8, 512, 8192]  | [8, 8192, 3072]  | bf16  |      151.27       |      150.42      |      153.86      |        N/A         |
| 16 | 512  | 8192 | 3072 | [16, 512, 3072]  | [16, 512, 8192]  | [16, 8192, 3072] | bf16  |      294.29       |      291.34      |      295.61      |        N/A         |
| 32 | 512  | 8192 | 3072 | [32, 512, 3072]  | [32, 512, 8192]  | [32, 8192, 3072] | bf16  |      584.79       |      578.72      |      600.28      |        N/A         |
| 1  | 1024 | 8192 | 3072 | [1, 1024, 3072]  | [1, 1024, 8192]  | [1, 8192, 3072]  | bf16  |      104.48       |      103.35      |      105.01      |        N/A         |
| 2  | 1024 | 8192 | 3072 | [2, 1024, 3072]  | [2, 1024, 8192]  | [2, 8192, 3072]  | bf16  |      105.36       |      105.02      |      106.04      |        N/A         |
| 8  | 1024 | 8192 | 3072 | [8, 1024, 3072]  | [8, 1024, 8192]  | [8, 8192, 3072]  | bf16  |      285.57       |      283.16      |      287.45      |        N/A         |
| 16 | 1024 | 8192 | 3072 | [16, 1024, 3072] | [16, 1024, 8192] | [16, 8192, 3072] | bf16  |      565.74       |      553.39      |      581.62      |        N/A         |
| 32 | 1024 | 8192 | 3072 | [32, 1024, 3072] | [32, 1024, 8192] | [32, 8192, 3072] | bf16  |      1165.67      |     1086.47      |     1248.96      |        N/A         |
| 1  |  1   | 3072 | 4096 |   [1, 1, 4096]   |   [1, 1, 3072]   | [1, 3072, 4096]  | bf16  |      105.07       |      104.5       |      105.95      |        N/A         |
| 2  |  1   | 3072 | 4096 |   [2, 1, 4096]   |   [2, 1, 3072]   | [2, 3072, 4096]  | bf16  |      105.47       |      105.07      |      106.02      |        N/A         |
