Test Case: L40S_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1024  | 4096  | N/A |        [[1024, 4096], [4096]]        | bf16  |       8.77       |       8.82        |       8.87       |       38.41        | 4.19e+06 | 1.26e+07 |      1.04%       |    332.12%    |
| 2048  | 4096  | N/A |        [[2048, 4096], [4096]]        | bf16  |      15.02       |       15.05       |      15.08       |       74.82        | 8.39e+06 | 2.52e+07 |      1.22%       |    387.84%    |
| 4096  | 4096  | N/A |        [[4096, 4096], [4096]]        | bf16  |      44.94       |       45.0        |      45.07       |       147.64       | 1.68e+07 | 5.03e+07 |      0.82%       |    259.25%    |
| 8192  | 4096  | N/A |        [[8192, 4096], [4096]]        | bf16  |      205.3       |      207.16       |      208.44      |       293.27       | 3.36e+07 | 1.01e+08 |      0.36%       |    113.5%     |
| 16384 | 4096  | N/A |       [[16384, 4096], [4096]]        | bf16  |      410.11      |      412.32       |      413.89      |       584.54       | 6.71e+07 | 2.01e+08 |      0.36%       |    113.64%    |
| 32768 | 4096  | N/A |       [[32768, 4096], [4096]]        | bf16  |      821.32      |      822.39       |      823.24      |      1167.08       | 1.34e+08 | 4.03e+08 |      0.36%       |    113.48%    |
|   1   | 5120  | N/A |         [[1, 5120], [5120]]          | bf16  |       1.89       |       1.99        |       2.14       |        2.04        | 5.12e+03 | 1.54e+04 |      0.01%       |     1.88%     |
|   2   | 5120  | N/A |         [[2, 5120], [5120]]          | bf16  |       2.57       |       2.63        |       2.69       |        2.09        | 1.02e+04 | 3.07e+04 |      0.01%       |     2.77%     |
|   4   | 5120  | N/A |         [[4, 5120], [5120]]          | bf16  |       2.61       |       2.65        |       2.69       |        2.18        | 2.05e+04 | 6.14e+04 |      0.02%       |     5.45%     |
|   8   | 5120  | N/A |         [[8, 5120], [5120]]          | bf16  |       2.67       |       2.69        |       2.7        |        2.36        | 4.10e+04 | 1.23e+05 |      0.03%       |    10.65%     |
|  16   | 5120  | N/A |         [[16, 5120], [5120]]         | bf16  |       2.72       |        2.8        |       2.9        |        2.71        | 8.19e+04 | 2.46e+05 |      0.07%       |    20.92%     |
|  32   | 5120  | N/A |         [[32, 5120], [5120]]         | bf16  |       2.87       |       2.94        |       3.02       |        3.42        | 1.64e+05 | 4.92e+05 |      0.12%       |    39.64%     |
|  64   | 5120  | N/A |         [[64, 5120], [5120]]         | bf16  |       3.14       |       3.16        |       3.19       |        4.84        | 3.28e+05 | 9.83e+05 |      0.23%       |    72.47%     |
|  128  | 5120  | N/A |        [[128, 5120], [5120]]         | bf16  |       3.5        |       3.56        |       3.63       |        7.69        | 6.55e+05 | 1.97e+06 |      0.41%       |    130.03%    |
|  256  | 5120  | N/A |        [[256, 5120], [5120]]         | bf16  |       4.58       |       4.64        |       4.71       |       13.38        | 1.31e+06 | 3.93e+06 |      0.62%       |    198.74%    |
|  512  | 5120  | N/A |        [[512, 5120], [5120]]         | bf16  |       6.48       |       6.52        |       6.57       |       24.76        | 2.62e+06 | 7.86e+06 |      0.88%       |    280.93%    |
| 1024  | 5120  | N/A |        [[1024, 5120], [5120]]        | bf16  |      10.38       |       10.49       |      10.57       |       47.51        | 5.24e+06 | 1.57e+07 |       1.1%       |    350.76%    |
