test case : L40S_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 4, 64]]     |  bf16  |       5.14       |       5.15        |       5.16       |       2.05        |  [896]   |   [16384, 16384]   |   [128]   |      7.71e-06      |      1.96e-05      |      1.59e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 4, 64]]     |  bf16  |       5.22       |       5.25        |       5.27       |       2.10        |  [1792]  |   [32768, 32768]   |   [256]   |      1.52e-05      |      3.86e-05      |      3.12e-05       |  3.33e+04  |       0.00%        |       0.00%        |        0.00%        |    1.47%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 4, 64]]     |  bf16  |       5.37       |       5.38        |       5.40       |       2.19        |  [3584]  |   [65536, 65536]   |   [512]   |      2.95e-05      |      7.51e-05      |      6.07e-05       |  6.60e+04  |       0.00%        |       0.01%        |        0.01%        |    2.85%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 4, 64]]     |  bf16  |       5.51       |       5.53        |       5.58       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      8.99e-07      |      2.29e-06      |      1.85e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 4, 64]]     |  bf16  |       5.50       |       5.53        |       5.58       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.80e-06      |      4.58e-06      |      3.70e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 4, 64]]     |  bf16  |       5.51       |       5.54        |       5.57       |       2.03        |  [448]   |    [8192, 8192]    |   [64]    |      3.59e-06      |      9.13e-06      |      7.39e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.37%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 4, 64]]     |  bf16  |       5.51       |       5.54        |       5.55       |       2.05        |  [896]   |   [16384, 16384]   |   [128]   |      7.19e-06      |      1.83e-05      |      1.48e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.71%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[16, 4, 3, 4, 64]]     |  bf16  |       5.62       |       5.64        |       5.67       |       2.10        |  [1792]  |   [32768, 32768]   |   [256]   |      1.41e-05      |      3.59e-05      |      2.90e-05       |  3.33e+04  |       0.00%        |       0.00%        |        0.00%        |    1.37%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[32, 4, 3, 4, 64]]     |  bf16  |       5.74       |       5.79        |       5.81       |       2.19        |  [3584]  |   [65536, 65536]   |   [512]   |      2.76e-05      |      7.02e-05      |      5.68e-05       |  6.60e+04  |       0.00%        |       0.01%        |        0.01%        |    2.66%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[1, 8, 3, 4, 64]]     |  bf16  |       5.51       |       5.53        |       5.55       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      8.99e-07      |      2.29e-06      |      1.85e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[2, 8, 3, 4, 64]]     |  bf16  |       5.52       |       5.53        |       5.54       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.80e-06      |      4.57e-06      |      3.69e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[4, 8, 3, 4, 64]]     |  bf16  |       5.53       |       5.54        |       5.56       |       2.03        |  [448]   |    [8192, 8192]    |   [64]    |      3.58e-06      |      9.10e-06      |      7.37e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.36%     |
