test case : L40S_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 1024, 1, 64], [1, 1024, 1, 64], [1, 1024, 1, 64]]       |  bf16  |       8.37       |       8.40        |       8.44       |       3.52        |  [7168]   |    [131072, 131072]    |  [1024]   |      3.79e-05      |      9.62e-05      |      7.79e-05       |  5.24e+05  |       0.00%        |       0.01%        |        0.01%        |    14.50%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 1024, 1, 64], [2, 1024, 1, 64], [2, 1024, 1, 64]]       |  bf16  |       9.16       |       9.19        |       9.20       |       5.03        |  [14336]  |    [262144, 262144]    |  [2048]   |      6.92e-05      |      1.76e-04      |      1.42e-04       |  1.05e+06  |       0.01%        |       0.02%        |        0.01%        |    26.49%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 1024, 1, 64], [4, 1024, 1, 64], [4, 1024, 1, 64]]       |  bf16  |      11.32       |       11.35       |      11.38       |       8.07        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.12e-04      |      2.85e-04      |      2.30e-04       |  2.10e+06  |       0.01%        |       0.03%        |        0.02%        |    42.91%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[8, 1024, 1, 64], [8, 1024, 1, 64], [8, 1024, 1, 64]]       |  bf16  |      21.61       |       21.65       |      21.70       |       14.14       |  [57344]  |   [1048576, 1048576]   |  [8192]   |      1.17e-04      |      2.98e-04      |      2.41e-04       |  4.19e+06  |       0.01%        |       0.03%        |        0.02%        |    44.92%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[16, 1024, 1, 64], [16, 1024, 1, 64], [16, 1024, 1, 64]]     |  bf16  |      22.24       |       22.27       |      22.30       |       26.27       | [114688]  |   [2097152, 2097152]   |  [16384]  |      2.28e-04      |      5.80e-04      |      4.69e-04       |  8.39e+06  |       0.02%        |       0.06%        |        0.05%        |    87.32%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[32, 1024, 1, 64], [32, 1024, 1, 64], [32, 1024, 1, 64]]     |  bf16  |      33.72       |       33.89       |      34.02       |       50.55       | [229376]  |   [4194304, 4194304]   |  [32768]  |      3.01e-04      |      7.65e-04      |      6.19e-04       |  1.68e+07  |       0.03%        |       0.08%        |        0.06%        |   115.18%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 1, 4, 64], [1, 1, 1, 64], [1, 1, 1, 64]]           |  bf16  |       5.06       |       5.09        |       5.12       |       2.01        |   [28]    |       [512, 512]       |    [4]    |      2.45e-07      |      6.22e-07      |      5.03e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 1, 4, 64], [2, 1, 1, 64], [2, 1, 1, 64]]           |  bf16  |       5.08       |       5.10        |       5.14       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      4.88e-07      |      1.24e-06      |      1.00e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 1, 4, 64], [4, 1, 1, 64], [4, 1, 1, 64]]           |  bf16  |       5.13       |       5.14        |       5.18       |       2.02        |   [112]   |      [2048, 2048]      |   [16]    |      9.66e-07      |      2.46e-06      |      1.99e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 1, 4, 64], [8, 1, 1, 64], [8, 1, 1, 64]]           |  bf16  |       5.12       |       5.14        |       5.17       |       2.05        |   [224]   |      [4096, 4096]      |   [32]    |      1.93e-06      |      4.92e-06      |      3.98e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.75%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 1, 4, 64], [16, 1, 1, 64], [16, 1, 1, 64]]          |  bf16  |       5.14       |       5.16        |       5.18       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.85e-06      |      9.80e-06      |      7.93e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.48%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 1, 4, 64], [32, 1, 1, 64], [32, 1, 1, 64]]          |  bf16  |       5.13       |       5.15        |       5.16       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.72e-06      |      1.96e-05      |      1.59e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.96%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 4, 4, 64], [1, 4, 1, 64], [1, 4, 1, 64]]           |  bf16  |       5.50       |       5.52        |       5.55       |       2.03        |   [448]   |      [8192, 8192]      |   [64]    |      3.60e-06      |      9.16e-06      |      7.41e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.37%     |
