Test Case: L40S_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      141.74      |      142.39       |      142.63      |       147.64       | 2.01e+08 | 2.52e+07  | 5.03e+07 |        3.1%         |         3.1%         |     82.2%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      310.35      |      311.88       |      312.69      |       293.27       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        2.83%        |        2.83%         |    75.08%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      623.05      |      625.76       |      626.76      |       584.54       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        2.82%        |        2.82%         |     74.8%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |     1244.25      |      1246.45      |      1247.4      |      1167.08       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        2.83%        |        2.83%         |    74.91%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       5.17       |       5.22        |       5.26       |        2.04        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.02%        |        0.02%         |     0.55%     |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       5.26       |        5.3        |       5.33       |        2.07        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.04%        |        0.04%         |     1.08%     |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       5.33       |       5.35        |       5.37       |        2.14        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.08%        |        0.08%         |     2.13%     |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       5.34       |       5.37        |       5.38       |        2.28        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.16%        |        0.16%         |     4.26%     |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       6.9        |       6.93        |       6.95       |        2.57        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.25%        |        0.25%         |     6.6%      |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       6.9        |       6.94        |       6.97       |        3.14        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.5%         |         0.5%         |    13.19%     |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       6.97       |        7.0        |       7.04       |        4.28        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        0.99%        |        0.99%         |    26.12%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       7.04       |       7.08        |       7.15       |        6.55        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.95%        |        1.95%         |    51.72%     |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |       7.63       |       7.67        |       7.72       |        11.1        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.6%         |         3.6%         |    95.44%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |       9.71       |       9.73        |       9.75       |        20.2        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        5.66%        |        5.66%         |    149.99%    |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      15.17       |       15.26       |      15.31       |       38.41        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        7.24%        |        7.24%         |    192.0%     |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      25.01       |       25.07       |      25.12       |       74.82        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        8.79%        |        8.79%         |    232.92%    |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |      132.72      |      134.81       |      135.35      |       147.64       | 2.01e+08 | 2.52e+07  | 5.03e+07 |        3.31%        |        3.31%         |    87.79%     |
